chr	start	end	name	TargetGene	TargetGeneTSS	CellType	ABC.Score
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ58	22477707	cd4_activated_scale	0.041855
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ23	22520416	cd4_activated_scale	0.023572
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ21	22523600	cd4_activated_scale	0.025249
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ20	22524325	cd4_activated_scale	0.025015
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ17	22526844	cd4_activated_scale	0.020608
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ13	22531076	cd4_activated_scale	0.025900
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ12	22531939	cd4_activated_scale	0.025900
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ11	22532502	cd4_activated_scale	0.020707
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ10	22533497	cd4_activated_scale	0.022220
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ9	22535554	cd4_activated_scale	0.023174
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ8	22536145	cd4_activated_scale	0.024059
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ7	22537622	cd4_activated_scale	0.033411
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ6	22539073	cd4_activated_scale	0.029451
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ5	22540247	cd4_activated_scale	0.034534
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ4	22542199	cd4_activated_scale	0.043536
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAJ3	22543179	cd4_activated_scale	0.046485
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAC	22547506	cd4_activated_scale	0.104647
chr14	22558105	22559042	genic|chr14:22558105-22559042	TRAV40	22314490	cd4_activated_scale	0.020498
chr14	22558105	22559042	genic|chr14:22558105-22559042	TRAV41	22320188	cd4_activated_scale	0.023489
chr14	22558105	22559042	genic|chr14:22558105-22559042	AC243965.1	22556640	cd4_activated_scale	0.024044
chr14	22558105	22559042	genic|chr14:22558105-22559042	LINC02332	22557062	cd4_activated_scale	0.080235
chr14	22561423	22562713	intergenic|chr14:22561423-22562713	LINC02332	22557062	cd4_activated_scale	0.020572
chr14	22566177	22567937	genic|chr14:22566177-22567937	TRAJ58	22477707	cd4_activated_scale	0.024810
chr14	22566177	22567937	genic|chr14:22566177-22567937	LINC02332	22557062	cd4_activated_scale	0.025466
chr14	22886242	22888467	genic|chr14:22886242-22888467	TRDC	22462932	cd4_activated_scale	0.020948
chr14	22886242	22888467	genic|chr14:22886242-22888467	REM2	22883222	cd4_activated_scale	0.058391
chr14	23006587	23007744	genic|chr14:23006587-23007744	C14orf93	23010166	cd4_activated_scale	0.108289
chr14	23006587	23007744	genic|chr14:23006587-23007744	PSMB5	23035230	cd4_activated_scale	0.027672
chr14	23006587	23007744	genic|chr14:23006587-23007744	CDH24	23057538	cd4_activated_scale	0.027208
chr14	23118292	23118792	genic|chr14:23118292-23118792	CEBPE	23119616	cd4_activated_scale	0.028196
chr14	23285099	23286991	genic|chr14:23285099-23286991	BCL2L2	23298790	cd4_activated_scale	0.056941
chr14	23285099	23286991	genic|chr14:23285099-23286991	HOMEZ	23299447	cd4_activated_scale	0.030717
chr14	23285099	23286991	genic|chr14:23285099-23286991	PPP1R3E	23302859	cd4_activated_scale	0.028182
chr14	23550234	23552466	genic|chr14:23550234-23552466	THTPA	23555988	cd4_activated_scale	0.032230
chr14	23562329	23563404	genic|chr14:23562329-23563404	AL135999.1	23561097	cd4_activated_scale	0.053045
chr14	23568672	23569370	genic|chr14:23568672-23569370	AP1G2	23568070	cd4_activated_scale	0.024411
chr14	23631483	23633163	genic|chr14:23631483-23633163	DHRS2	23630115	cd4_activated_scale	0.020502
chr14	24132143	24132996	genic|chr14:24132143-24132996	FITM1	24131275	cd4_activated_scale	0.077856
chr14	24273796	24274889	genic|chr14:24273796-24274889	AL096870.8	24271213	cd4_activated_scale	0.023048
chr14	24273796	24274889	genic|chr14:24273796-24274889	AL096870.6	24271726	cd4_activated_scale	0.023049
chr14	24273796	24274889	genic|chr14:24273796-24274889	RABGGTA	24271739	cd4_activated_scale	0.023049
chr14	24296375	24297653	genic|chr14:24296375-24297653	DHRS1	24299780	cd4_activated_scale	0.045913
chr14	24296375	24297653	genic|chr14:24296375-24297653	NOP9	24299850	cd4_activated_scale	0.045914
chr14	31199477	31200300	genic|chr14:31199477-31200300	AL136418.1	31248628	cd4_activated_scale	0.023009
chr14	31243588	31244359	intergenic|chr14:31243588-31244359	AL136418.1	31248628	cd4_activated_scale	0.179687
chr14	31264117	31264873	genic|chr14:31264117-31264873	AL136418.1	31248628	cd4_activated_scale	0.032068
chr14	31269914	31270801	genic|chr14:31269914-31270801	AL136418.1	31248628	cd4_activated_scale	0.021077
chr14	32332020	32333413	genic|chr14:32332020-32333413	AKAP6	32329298	cd4_activated_scale	0.026365
chr14	34535907	34536797	genic|chr14:34535907-34536797	EAPP	34539711	cd4_activated_scale	0.055051
chr14	34929700	34931616	intergenic|chr14:34929700-34931616	AL121603.2	34874343	cd4_activated_scale	0.020016
chr14	34929700	34931616	intergenic|chr14:34929700-34931616	SRP54	34981957	cd4_activated_scale	0.026865
chr14	34929700	34931616	intergenic|chr14:34929700-34931616	FAM177A1	35044907	cd4_activated_scale	0.023330
chr14	34929700	34931616	intergenic|chr14:34929700-34931616	PSMA6	35278633	cd4_activated_scale	0.022436
chr14	34929700	34931616	intergenic|chr14:34929700-34931616	AL162311.1	35873857	cd4_activated_scale	0.024680
chr14	34929700	34931616	intergenic|chr14:34929700-34931616	PAX9	36657568	cd4_activated_scale	0.021074
chr14	34929700	34931616	intergenic|chr14:34929700-34931616	MIPOL1	37197913	cd4_activated_scale	0.020027
chr14	35045441	35047331	genic|chr14:35045441-35047331	PRKD1	30191898	cd4_activated_scale	0.028300
chr14	35045441	35047331	genic|chr14:35045441-35047331	AL049830.3	30889808	cd4_activated_scale	0.020032
chr14	35045441	35047331	genic|chr14:35045441-35047331	NUBPL	31489956	cd4_activated_scale	0.022797
chr14	35045441	35047331	genic|chr14:35045441-35047331	AL161665.1	32158008	cd4_activated_scale	0.025644
chr14	35045441	35047331	genic|chr14:35045441-35047331	AKAP6	32329298	cd4_activated_scale	0.028963
chr14	35045441	35047331	genic|chr14:35045441-35047331	NPAS3	32934933	cd4_activated_scale	0.035417
chr14	35045441	35047331	genic|chr14:35045441-35047331	SPTSSA	34462240	cd4_activated_scale	0.031991
chr14	35045441	35047331	genic|chr14:35045441-35047331	EGLN3	34462774	cd4_activated_scale	0.031991
chr14	35045441	35047331	genic|chr14:35045441-35047331	EAPP	34539711	cd4_activated_scale	0.021115
chr14	35045441	35047331	genic|chr14:35045441-35047331	SNX6	34630160	cd4_activated_scale	0.026986
chr14	35045441	35047331	genic|chr14:35045441-35047331	CFL2	34714823	cd4_activated_scale	0.028051
chr14	35045441	35047331	genic|chr14:35045441-35047331	SRP54	34981957	cd4_activated_scale	0.031210
chr14	35045441	35047331	genic|chr14:35045441-35047331	FAM177A1	35044907	cd4_activated_scale	0.290476
chr14	35045441	35047331	genic|chr14:35045441-35047331	PRORP	35121846	cd4_activated_scale	0.029335
chr14	35045441	35047331	genic|chr14:35045441-35047331	PSMA6	35278633	cd4_activated_scale	0.037767
chr14	35045441	35047331	genic|chr14:35045441-35047331	AL133163.2	35363628	cd4_activated_scale	0.034912
chr14	35045441	35047331	genic|chr14:35045441-35047331	RALGAPA1	35809304	cd4_activated_scale	0.026607
chr14	35045441	35047331	genic|chr14:35045441-35047331	BRMS1L	35826338	cd4_activated_scale	0.032564
chr14	35045441	35047331	genic|chr14:35045441-35047331	AL162311.3	35826765	cd4_activated_scale	0.032565
chr14	35045441	35047331	genic|chr14:35045441-35047331	AL162311.1	35873857	cd4_activated_scale	0.047260
chr14	35045441	35047331	genic|chr14:35045441-35047331	MBIP	36320637	cd4_activated_scale	0.029445
chr14	35045441	35047331	genic|chr14:35045441-35047331	AL132857.1	36320753	cd4_activated_scale	0.029443
chr14	35045441	35047331	genic|chr14:35045441-35047331	PAX9	36657568	cd4_activated_scale	0.042864
chr14	35045441	35047331	genic|chr14:35045441-35047331	SLC25A21-AS1	37171888	cd4_activated_scale	0.038898
chr14	35045441	35047331	genic|chr14:35045441-35047331	MIPOL1	37197913	cd4_activated_scale	0.040137
chr14	35045441	35047331	genic|chr14:35045441-35047331	FOXA1	37596059	cd4_activated_scale	0.031471
chr14	35285074	35286422	genic|chr14:35285074-35286422	PSMA6	35278633	cd4_activated_scale	0.047714
chr14	35286529	35288383	genic|chr14:35286529-35288383	PSMA6	35278633	cd4_activated_scale	0.024133
chr14	35291533	35293581	genic|chr14:35291533-35293581	FAM177A1	35044907	cd4_activated_scale	0.023325
chr14	35291533	35293581	genic|chr14:35291533-35293581	PSMA6	35278633	cd4_activated_scale	0.072515
chr14	35291533	35293581	genic|chr14:35291533-35293581	AL133163.2	35363628	cd4_activated_scale	0.043650
chr14	35291533	35293581	genic|chr14:35291533-35293581	AL162311.1	35873857	cd4_activated_scale	0.033381
chr14	35291533	35293581	genic|chr14:35291533-35293581	MBIP	36320637	cd4_activated_scale	0.021529
chr14	35291533	35293581	genic|chr14:35291533-35293581	AL132857.1	36320753	cd4_activated_scale	0.021527
chr14	35291533	35293581	genic|chr14:35291533-35293581	PAX9	36657568	cd4_activated_scale	0.030036
chr14	35291533	35293581	genic|chr14:35291533-35293581	SLC25A21-AS1	37171888	cd4_activated_scale	0.026263
chr14	35291533	35293581	genic|chr14:35291533-35293581	MIPOL1	37197913	cd4_activated_scale	0.027062
chr14	35291533	35293581	genic|chr14:35291533-35293581	FOXA1	37596059	cd4_activated_scale	0.020854
chr14	35355544	35357099	intergenic|chr14:35355544-35357099	AL133163.2	35363628	cd4_activated_scale	0.032072
chr14	35364987	35366958	intergenic|chr14:35364987-35366958	AL133163.2	35363628	cd4_activated_scale	0.131676
chr14	36315114	36315883	genic|chr14:36315114-36315883	MBIP	36320637	cd4_activated_scale	0.020408
chr14	36315114	36315883	genic|chr14:36315114-36315883	AL132857.1	36320753	cd4_activated_scale	0.020409
chr14	39094704	39095579	genic|chr14:39094704-39095579	SEC23A-AS1	39103140	cd4_activated_scale	0.049502
chr14	39145293	39146604	intergenic|chr14:39145293-39146604	AL109628.2	39147833	cd4_activated_scale	0.025752
chr14	39228535	39229519	intergenic|chr14:39228535-39229519	AL109628.2	39147833	cd4_activated_scale	0.022259
chr14	39228535	39229519	intergenic|chr14:39228535-39229519	MIA2	39230231	cd4_activated_scale	0.344281
chr14	39228535	39229519	intergenic|chr14:39228535-39229519	AL132639.2	39267061	cd4_activated_scale	0.029770
chr14	39228535	39229519	intergenic|chr14:39228535-39229519	LINC02315	40954693	cd4_activated_scale	0.034088
chr14	39231369	39232093	genic|chr14:39231369-39232093	MIA2	39230231	cd4_activated_scale	0.030334
chr14	39268341	39268841	genic|chr14:39268341-39268841	AL132639.2	39267061	cd4_activated_scale	0.022644
chr14	45089774	45090747	genic|chr14:45089774-45090747	AL121809.2	45079849	cd4_activated_scale	0.025048
chr14	45089774	45090747	genic|chr14:45089774-45090747	PRPF39	45084107	cd4_activated_scale	0.027578
chr14	45094861	45095953	genic|chr14:45094861-45095953	PRPF39	45084107	cd4_activated_scale	0.059478
chr14	49584870	49587259	genic|chr14:49584870-49587259	AL049870.3	44911863	cd4_activated_scale	0.023763
chr14	49584870	49587259	genic|chr14:49584870-49587259	KLHL28	45042322	cd4_activated_scale	0.026350
chr14	49584870	49587259	genic|chr14:49584870-49587259	AL121809.2	45079849	cd4_activated_scale	0.022606
chr14	49584870	49587259	genic|chr14:49584870-49587259	AL162632.1	45377268	cd4_activated_scale	0.027630
chr14	49584870	49587259	genic|chr14:49584870-49587259	LRR1	49598761	cd4_activated_scale	0.059865
chr14	49584870	49587259	genic|chr14:49584870-49587259	RPS29	49599164	cd4_activated_scale	0.045359
chr14	49584870	49587259	genic|chr14:49584870-49587259	RPL36AL	49620626	cd4_activated_scale	0.027679
chr14	49584870	49587259	genic|chr14:49584870-49587259	MGAT2	49620799	cd4_activated_scale	0.027679
chr14	49584870	49587259	genic|chr14:49584870-49587259	AL139099.1	49623480	cd4_activated_scale	0.040362
chr14	49584870	49587259	genic|chr14:49584870-49587259	AL139099.2	49629890	cd4_activated_scale	0.040498
chr14	49584870	49587259	genic|chr14:49584870-49587259	DNAAF2	49635230	cd4_activated_scale	0.021663
chr14	49584870	49587259	genic|chr14:49584870-49587259	POLE2	49688422	cd4_activated_scale	0.028694
chr14	49584870	49587259	genic|chr14:49584870-49587259	KLHDC1	49693105	cd4_activated_scale	0.034085
chr14	49584870	49587259	genic|chr14:49584870-49587259	AL591767.1	49708792	cd4_activated_scale	0.024183
chr14	49584870	49587259	genic|chr14:49584870-49587259	KLHDC2	49768130	cd4_activated_scale	0.024218
chr14	49584870	49587259	genic|chr14:49584870-49587259	NEMF	49852821	cd4_activated_scale	0.023859
chr14	49584870	49587259	genic|chr14:49584870-49587259	LINC01588	50105043	cd4_activated_scale	0.022004
chr14	49584870	49587259	genic|chr14:49584870-49587259	AL359397.2	50327909	cd4_activated_scale	0.022049
chr14	49584870	49587259	genic|chr14:49584870-49587259	AL359397.1	50397013	cd4_activated_scale	0.023179
chr14	49584870	49587259	genic|chr14:49584870-49587259	CDKL1	50416461	cd4_activated_scale	0.024118
chr14	49584870	49587259	genic|chr14:49584870-49587259	AL118556.1	50448807	cd4_activated_scale	0.022600
chr14	49584870	49587259	genic|chr14:49584870-49587259	MAP4K5	50561126	cd4_activated_scale	0.025268
chr14	49865286	49865786	intergenic|chr14:49865286-49865786	AL627171.2	49864326	cd4_activated_scale	0.035909
chr14	49867702	49868596	intergenic|chr14:49867702-49868596	NEMF	49852821	cd4_activated_scale	0.021528
chr14	49867702	49868596	intergenic|chr14:49867702-49868596	AL627171.1	49863072	cd4_activated_scale	0.036208
chr14	49867702	49868596	intergenic|chr14:49867702-49868596	AL627171.2	49864326	cd4_activated_scale	0.057663
chr14	49867702	49868596	intergenic|chr14:49867702-49868596	LINC01588	50105043	cd4_activated_scale	0.031200
chr14	49867702	49868596	intergenic|chr14:49867702-49868596	VCPKMT	50116600	cd4_activated_scale	0.024815
chr14	49894666	49895166	genic|chr14:49894666-49895166	ARF6	49893082	cd4_activated_scale	0.040700
chr14	49970313	49973308	genic|chr14:49970313-49973308	KLHL28	45042322	cd4_activated_scale	0.020738
chr14	49970313	49973308	genic|chr14:49970313-49973308	AL162632.1	45377268	cd4_activated_scale	0.021629
chr14	49970313	49973308	genic|chr14:49970313-49973308	AL591767.1	49708792	cd4_activated_scale	0.020431
chr14	49970313	49973308	genic|chr14:49970313-49973308	AL627171.1	49863072	cd4_activated_scale	0.021150
chr14	49970313	49973308	genic|chr14:49970313-49973308	AL627171.2	49864326	cd4_activated_scale	0.025303
chr14	49970313	49973308	genic|chr14:49970313-49973308	AL359397.2	50327909	cd4_activated_scale	0.021198
chr14	49970313	49973308	genic|chr14:49970313-49973308	AL359397.1	50397013	cd4_activated_scale	0.020768
chr14	49970313	49973308	genic|chr14:49970313-49973308	CDKL1	50416461	cd4_activated_scale	0.022828
chr14	49970313	49973308	genic|chr14:49970313-49973308	AL358334.2	50962002	cd4_activated_scale	0.020188
chr14	50000437	50003727	genic|chr14:50000437-50003727	KLHL28	45042322	cd4_activated_scale	0.039459
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL121809.2	45079849	cd4_activated_scale	0.033831
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL162632.1	45377268	cd4_activated_scale	0.041137
chr14	50000437	50003727	genic|chr14:50000437-50003727	LRR1	49598761	cd4_activated_scale	0.023272
chr14	50000437	50003727	genic|chr14:50000437-50003727	RPS29	49599164	cd4_activated_scale	0.022161
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL139099.1	49623480	cd4_activated_scale	0.029914
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL139099.2	49629890	cd4_activated_scale	0.033033
chr14	50000437	50003727	genic|chr14:50000437-50003727	POLE2	49688422	cd4_activated_scale	0.031082
chr14	50000437	50003727	genic|chr14:50000437-50003727	KLHDC1	49693105	cd4_activated_scale	0.035732
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL591767.1	49708792	cd4_activated_scale	0.044360
chr14	50000437	50003727	genic|chr14:50000437-50003727	KLHDC2	49768130	cd4_activated_scale	0.033512
chr14	50000437	50003727	genic|chr14:50000437-50003727	NEMF	49852821	cd4_activated_scale	0.039040
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL627171.1	49863072	cd4_activated_scale	0.049747
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL627171.2	49864326	cd4_activated_scale	0.068231
chr14	50000437	50003727	genic|chr14:50000437-50003727	ARF6	49893082	cd4_activated_scale	0.058577
chr14	50000437	50003727	genic|chr14:50000437-50003727	LINC01588	50105043	cd4_activated_scale	0.075663
chr14	50000437	50003727	genic|chr14:50000437-50003727	VCPKMT	50116600	cd4_activated_scale	0.022125
chr14	50000437	50003727	genic|chr14:50000437-50003727	SOS2	50231578	cd4_activated_scale	0.031015
chr14	50000437	50003727	genic|chr14:50000437-50003727	L2HGDH	50312229	cd4_activated_scale	0.035887
chr14	50000437	50003727	genic|chr14:50000437-50003727	DMAC2L	50312324	cd4_activated_scale	0.035886
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL359397.2	50327909	cd4_activated_scale	0.040245
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL359397.1	50397013	cd4_activated_scale	0.039290
chr14	50000437	50003727	genic|chr14:50000437-50003727	CDKL1	50416461	cd4_activated_scale	0.043377
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL118556.1	50448807	cd4_activated_scale	0.036524
chr14	50000437	50003727	genic|chr14:50000437-50003727	ATL1	50532509	cd4_activated_scale	0.023759
chr14	50000437	50003727	genic|chr14:50000437-50003727	MAP4K5	50561126	cd4_activated_scale	0.035168
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL606834.1	50663178	cd4_activated_scale	0.023266
chr14	50000437	50003727	genic|chr14:50000437-50003727	SAV1	50668306	cd4_activated_scale	0.033280
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL606834.2	50724272	cd4_activated_scale	0.032697
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL133485.2	50821880	cd4_activated_scale	0.025926
chr14	50000437	50003727	genic|chr14:50000437-50003727	NIN	50831121	cd4_activated_scale	0.022945
chr14	50000437	50003727	genic|chr14:50000437-50003727	ABHD12B	50872053	cd4_activated_scale	0.036340
chr14	50000437	50003727	genic|chr14:50000437-50003727	PYGL	50944483	cd4_activated_scale	0.041585
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL358334.2	50962002	cd4_activated_scale	0.038616
chr14	50000437	50003727	genic|chr14:50000437-50003727	TRIM9	51096061	cd4_activated_scale	0.033361
chr14	50000437	50003727	genic|chr14:50000437-50003727	TMX1	51240162	cd4_activated_scale	0.024052
chr14	50000437	50003727	genic|chr14:50000437-50003727	FRMD6	51489100	cd4_activated_scale	0.029348
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL122125.1	51637947	cd4_activated_scale	0.026684
chr14	50000437	50003727	genic|chr14:50000437-50003727	GNG2	51826195	cd4_activated_scale	0.022478
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL358333.2	51918571	cd4_activated_scale	0.021061
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL358333.3	51969800	cd4_activated_scale	0.021541
chr14	50000437	50003727	genic|chr14:50000437-50003727	NID2	52069228	cd4_activated_scale	0.020028
chr14	50000437	50003727	genic|chr14:50000437-50003727	AL352979.4	52951432	cd4_activated_scale	0.020447
chr14	50060753	50063035	genic|chr14:50060753-50063035	AL591767.1	49708792	cd4_activated_scale	0.020629
chr14	50060753	50063035	genic|chr14:50060753-50063035	AL627171.1	49863072	cd4_activated_scale	0.023029
chr14	50060753	50063035	genic|chr14:50060753-50063035	LINC01588	50105043	cd4_activated_scale	0.042589
chr14	50082144	50084172	genic|chr14:50082144-50084172	AL162632.1	45377268	cd4_activated_scale	0.026792
chr14	50082144	50084172	genic|chr14:50082144-50084172	AL139099.1	49623480	cd4_activated_scale	0.020291
chr14	50082144	50084172	genic|chr14:50082144-50084172	POLE2	49688422	cd4_activated_scale	0.023419
chr14	50082144	50084172	genic|chr14:50082144-50084172	KLHDC1	49693105	cd4_activated_scale	0.020956
chr14	50082144	50084172	genic|chr14:50082144-50084172	AL591767.1	49708792	cd4_activated_scale	0.025841
chr14	50082144	50084172	genic|chr14:50082144-50084172	NEMF	49852821	cd4_activated_scale	0.033544
chr14	50082144	50084172	genic|chr14:50082144-50084172	AL627171.1	49863072	cd4_activated_scale	0.037807
chr14	50082144	50084172	genic|chr14:50082144-50084172	AL627171.2	49864326	cd4_activated_scale	0.029035
chr14	50082144	50084172	genic|chr14:50082144-50084172	ARF6	49893082	cd4_activated_scale	0.024794
chr14	50082144	50084172	genic|chr14:50082144-50084172	LINC01588	50105043	cd4_activated_scale	0.046846
chr14	50082144	50084172	genic|chr14:50082144-50084172	VCPKMT	50116600	cd4_activated_scale	0.027860
chr14	50082144	50084172	genic|chr14:50082144-50084172	SOS2	50231578	cd4_activated_scale	0.024197
chr14	50082144	50084172	genic|chr14:50082144-50084172	AL359397.2	50327909	cd4_activated_scale	0.023561
chr14	50082144	50084172	genic|chr14:50082144-50084172	AL359397.1	50397013	cd4_activated_scale	0.021596
chr14	50082144	50084172	genic|chr14:50082144-50084172	CDKL1	50416461	cd4_activated_scale	0.025772
chr14	50082144	50084172	genic|chr14:50082144-50084172	AL118556.1	50448807	cd4_activated_scale	0.024150
chr14	50082144	50084172	genic|chr14:50082144-50084172	MAP4K5	50561126	cd4_activated_scale	0.026441
chr14	50082144	50084172	genic|chr14:50082144-50084172	AL606834.2	50724272	cd4_activated_scale	0.027382
chr14	50082144	50084172	genic|chr14:50082144-50084172	ABHD12B	50872053	cd4_activated_scale	0.028048
chr14	50082144	50084172	genic|chr14:50082144-50084172	PYGL	50944483	cd4_activated_scale	0.024355
chr14	50082144	50084172	genic|chr14:50082144-50084172	AL358334.2	50962002	cd4_activated_scale	0.025534
chr14	50082144	50084172	genic|chr14:50082144-50084172	TRIM9	51096061	cd4_activated_scale	0.023587
chr14	50082144	50084172	genic|chr14:50082144-50084172	FRMD6	51489100	cd4_activated_scale	0.020376
chr14	50320208	50321592	genic|chr14:50320208-50321592	AL359397.2	50327909	cd4_activated_scale	0.024653
chr14	50725724	50727167	genic|chr14:50725724-50727167	AL606834.2	50724272	cd4_activated_scale	0.086905
chr14	50812106	50814832	genic|chr14:50812106-50814832	AL133485.2	50821880	cd4_activated_scale	0.020068
chr14	51827682	51829059	genic|chr14:51827682-51829059	GNG2	51826195	cd4_activated_scale	0.035031
chr14	51846418	51847622	genic|chr14:51846418-51847622	AL359397.2	50327909	cd4_activated_scale	0.021233
chr14	51846418	51847622	genic|chr14:51846418-51847622	AL359397.1	50397013	cd4_activated_scale	0.027533
chr14	51846418	51847622	genic|chr14:51846418-51847622	CDKL1	50416461	cd4_activated_scale	0.020110
chr14	51846418	51847622	genic|chr14:51846418-51847622	AL606834.2	50724272	cd4_activated_scale	0.020828
chr14	51846418	51847622	genic|chr14:51846418-51847622	AL133485.2	50821880	cd4_activated_scale	0.020169
chr14	51846418	51847622	genic|chr14:51846418-51847622	ABHD12B	50872053	cd4_activated_scale	0.025602
chr14	51846418	51847622	genic|chr14:51846418-51847622	PYGL	50944483	cd4_activated_scale	0.025950
chr14	51846418	51847622	genic|chr14:51846418-51847622	AL358334.2	50962002	cd4_activated_scale	0.027206
chr14	51846418	51847622	genic|chr14:51846418-51847622	TRIM9	51096061	cd4_activated_scale	0.028986
chr14	51846418	51847622	genic|chr14:51846418-51847622	TMX1	51240162	cd4_activated_scale	0.026163
chr14	51846418	51847622	genic|chr14:51846418-51847622	FRMD6	51489100	cd4_activated_scale	0.029201
chr14	51846418	51847622	genic|chr14:51846418-51847622	AL122125.1	51637947	cd4_activated_scale	0.032875
chr14	51846418	51847622	genic|chr14:51846418-51847622	FRMD6-AS1	51651744	cd4_activated_scale	0.027442
chr14	51846418	51847622	genic|chr14:51846418-51847622	GNG2	51826195	cd4_activated_scale	0.054892
chr14	51846418	51847622	genic|chr14:51846418-51847622	AL358333.2	51918571	cd4_activated_scale	0.045988
chr14	51846418	51847622	genic|chr14:51846418-51847622	AL358333.3	51969800	cd4_activated_scale	0.045321
chr14	51846418	51847622	genic|chr14:51846418-51847622	RTRAF	51989514	cd4_activated_scale	0.051185
chr14	51846418	51847622	genic|chr14:51846418-51847622	NID2	52069228	cd4_activated_scale	0.030221
